类型|A|B|S|截面积|单位重量
冷拔异型方形钢管|250|0|10|93.42|73.34
冷拔异型方形钢管|250|0|12|110.5|86.77
冷拔异型方形钢管|250|0|14|127.1|99.78
冷拔异型方形钢管|250|0|16|143.2|112.4
冷拔异型方形钢管|280|0|10|105.4|82.76
冷拔异型方形钢管|280|0|12|124.9|98.07
冷拔异型方形钢管|280|0|14|143.9|113
冷拔异型方形钢管|280|0|16|162.4|127.5
冷拔异型矩形钢管|10|5|0.8|0.203|0.16
冷拔异型矩形钢管|10|5|1|0.243|0.191
冷拔异型矩形钢管|12|6|0.8|0.251|0.197
冷拔异型矩形钢管|12|6|1|0.303|0.238
冷拔异型矩形钢管|14|7|1|0.362|0.285
冷拔异型矩形钢管|14|7|1.5|0.501|0.394
冷拔异型矩形钢管|14|7|2|0.611|0.48
冷拔异型矩形钢管|14|10|1|0.423|0.332
冷拔异型矩形钢管|14|10|1.5|0.591|0.464
冷拔异型矩形钢管|14|10|2|0.731|0.574
冷拔异型矩形钢管|16|8|1|0.423|0.332
冷拔异型矩形钢管|16|8|1.5|0.591|0.464
冷拔异型矩形钢管|16|8|2|0.731|0.574
冷拔异型矩形钢管|16|12|1|0.502|0.395
冷拔异型矩形钢管|16|12|1.5|0.711|0.558
冷拔异型矩形钢管|16|12|2|0.891|0.7
冷拔异型矩形钢管|18|9|1|0.483|0.379
冷拔异型矩形钢管|18|9|1.5|0.681|0.535
冷拔异型矩形钢管|18|9|2|0.851|0.668
冷拔异型矩形钢管|18|14|1|0.583|0.458
冷拔异型矩形钢管|18|14|1.5|0.831|0.653
冷拔异型矩形钢管|18|14|2|1.051|0.825
冷拔异型矩形钢管|20|10|1|0.543|0.426
冷拔异型矩形钢管|20|10|1.5|0.771|0.606
冷拔异型矩形钢管|20|10|2|0.971|0.762
冷拔异型矩形钢管|20|12|1|0.583|0.458
冷拔异型矩形钢管|20|12|1.5|0.831|0.653
冷拔异型矩形钢管|20|12|2|1.051|0.825
冷拔异型矩形钢管|25|10|1|0.643|0.505
冷拔异型矩形钢管|25|10|1.5|0.921|0.723
冷拔异型矩形钢管|25|10|2|1.171|0.919
冷拔异型矩形钢管|25|18|1|0.803|0.63
冷拔异型矩形钢管|25|18|1.5|1.161|0.912
冷拔异型矩形钢管|25|18|2|1.491|1.171
冷拔异型矩形钢管|30|15|1.5|1.221|0.959
冷拔异型矩形钢管|30|15|2|1.571|1.233
冷拔异型矩形钢管|30|15|2.5|1.893|1.486
冷拔异型矩形钢管|30|20|1.5|1.371|1.007
冷拔异型矩形钢管|30|20|2|1.771|1.39
冷拔异型矩形钢管|30|20|2.5|2.143|1.682
冷拔异型矩形钢管|35|15|1.5|1.371|1.077
冷拔异型矩形钢管|35|15|2|1.771|1.39
冷拔异型矩形钢管|35|15|2.5|2.143|1.682
冷拔异型矩形钢管|35|25|1.5|1.671|1.312
冷拔异型矩形钢管|35|25|2|2.171|1.704
冷拔异型矩形钢管|35|25|2.5|2.642|2.075
冷拔异型矩形钢管|40|11|1.5|1.401|1.1
冷拔异型矩形钢管|40|20|2|2.171|1.704
冷拔异型矩形钢管|40|20|2.5|2.642|2.075
冷拔异型矩形钢管|40|20|3|3.085|2.422
冷拔异型矩形钢管|40|30|2|2.571|2.018
冷拔异型矩形钢管|40|30|2.5|3.143|2.467
冷拔异型矩形钢管|40|30|3|3.685|2.893
冷拔异型矩形钢管|50|25|2|2.771|2.175
冷拔异型矩形钢管|50|25|3|3.985|3.129
冷拔异型矩形钢管|50|25|4|5.085|3.992
冷拔异型矩形钢管|50|40|2|3.371|2.646
冷拔异型矩形钢管|50|40|3|4.885|3.835
冷拔异型矩形钢管|50|40|4|6.285|4.934
冷拔异型矩形钢管|60|30|2|3.371|2.646
冷拔异型矩形钢管|60|30|3|4.885|3.835
冷拔异型矩形钢管|60|30|4|6.285|4.934
冷拔异型矩形钢管|60|40|2|3.771|2.96
冷拔异型矩形钢管|60|40|3|5.485|4.306
冷拔异型矩形钢管|60|40|4|7.085|5.562
冷拔异型矩形钢管|70|35|2|3.971|3.117
冷拔异型矩形钢管|70|35|3|5.785|4.542
冷拔异型矩形钢管|70|35|4|7.485|5.876
冷拔异型矩形钢管|70|50|3|6.685|5.248
冷拔异型矩形钢管|70|50|4|8.685|6.818
冷拔异型矩形钢管|70|50|5|10.57|8.298
冷拔异型矩形钢管|80|40|3|6.685|5.248
冷拔异型矩形钢管|80|40|4|8.685|6.818
冷拔异型矩形钢管|80|40|5|10.57|8.298
冷拔异型矩形钢管|80|60|4|10.29|8.074
冷拔异型矩形钢管|80|60|5|12.57|9.868
冷拔异型矩形钢管|80|60|6|14.74|11.57
冷拔异型矩形钢管|90|50|3|7.885|6.19
冷拔异型矩形钢管|90|50|4|10.29|8.074
冷拔异型矩形钢管|90|50|5|12.57|9.868
冷拔异型矩形钢管|90|70|4|11.89|9.33
冷拔异型矩形钢管|90|70|5|14.57|11.44
冷拔异型矩形钢管|90|70|6|15.94|12.51
冷拔异型矩形钢管|100|50|3|8.485|6.661
冷拔异型矩形钢管|100|50|4|11.09|8.702
冷拔异型矩形钢管|100|50|5|13.57|10.65
冷拔异型矩形钢管|100|80|4|13.49|10.59
冷拔异型矩形钢管|100|80|5|16.57|13.01
冷拔异型矩形钢管|100|80|6|19.54|15.34
冷拔异型矩形钢管|120|60|4|13.49|10.59
冷拔异型矩形钢管|120|60|5|16.57|13.01
冷拔异型矩形钢管|120|60|6|19.54|15.34
冷拔异型矩形钢管|120|80|4|15.09|11.84
冷拔异型矩形钢管|120|80|6|21.94|17.22
冷拔异型矩形钢管|120|80|8|27.79|21.82
冷拔异型矩形钢管|140|70|6|23.14|18.17
冷拔异型矩形钢管|140|70|8|29.39|23.07
冷拔异型矩形钢管|140|70|10|35.43|27.81
冷拔异型矩形钢管|140|120|6|29.14|22.88
冷拔异型矩形钢管|140|120|8|37.39|29.35
冷拔异型矩形钢管|140|120|10|45.43|35.66
冷拔异型矩形钢管|150|75|6|24.94|19.58
冷拔异型矩形钢管|150|75|8|31.79|24.96
冷拔异型矩形钢管|150|75|10|38.43|30.16
冷拔异型矩形钢管|150|100|6|27.94|21.93
冷拔异型矩形钢管|150|100|8|35.79|28.1
冷拔异型矩形钢管|150|100|10|43.43|34.09
冷拔异型矩形钢管|160|60|6|24.34|19.11
冷拔异型矩形钢管|160|60|8|30.99|24.33
冷拔异型矩形钢管|160|60|10|37.43|29.38
冷拔异型矩形钢管|160|80|6|26.74|20.99
冷拔异型矩形钢管|160|80|8|34.19|26.84
冷拔异型矩形钢管|160|80|10|41.43|32.52
冷拔异型矩形钢管|180|80|6|29.14|22.88
冷拔异型矩形钢管|180|80|8|37.39|29.35
冷拔异型矩形钢管|180|80|10|45.43|35.66
冷拔异型矩形钢管|180|100|8|40.59|31.87
冷拔异型矩形钢管|180|100|10|49.43|38.8
冷拔异型矩形钢管|180|100|12|57.73|45.32
冷拔异型矩形钢管|200|80|8|40.59|31.87
冷拔异型矩形钢管|200|80|12|45.73|45.32
冷拔异型矩形钢管|200|80|14|65.51|51.43
冷拔异型矩形钢管|200|120|8|46.99|36.89
冷拔异型矩形钢管|200|120|12|67.33|52.86
冷拔异型矩形钢管|200|120|14|76.71|60.22
冷拔异型矩形钢管|220|110|8|48.59|38.15
冷拔异型矩形钢管|220|110|12|69.73|54.74
冷拔异型矩形钢管|220|110|14|79.51|62.42
冷拔异型矩形钢管|220|200|10|77.43|60.78
冷拔异型矩形钢管|220|200|12|91.33|71.7
冷拔异型矩形钢管|220|200|14|104.7|82.2
冷拔异型矩形钢管|240|180|12|91.33|71.7
冷拔异型矩形钢管|250|150|10|73.43|57.64
冷拔异型矩形钢管|250|150|12|86.53|67.93
冷拔异型矩形钢管|250|150|14|99.11|77.8
冷拔异型矩形钢管|250|200|10|83.43|65.49
冷拔异型矩形钢管|250|200|12|98.53|77.35
冷拔异型矩形钢管|250|200|14|113.1|88.79
冷拔异型矩形钢管|300|150|10|83.43|65.49
冷拔异型矩形钢管|300|150|14|113.1|88.79
冷拔异型矩形钢管|300|150|16|127.2|99.83
冷拔异型矩形钢管|300|200|10|93.43|73.34
冷拔异型矩形钢管|300|200|14|127.1|99.78
冷拔异型矩形钢管|300|200|16|143.2|112.39
冷拔异型矩形钢管|400|200|10|113.4|89.04
冷拔异型矩形钢管|400|200|14|155.1|121.76
冷拔异型矩形钢管|400|200|16|175.2|137.51
